DUO_LU_D3_528_L1_1,MV2010_01231_528_L1_1,MV2010_01223_528_L1_1,DUO_LU_D3_528_L1_2,MV2010_01231_528_L1_2,MV2010_01223_528_L1_2,DUO_LU_D3_528_L1_3,MV2010_01231_528_L1_3,MV2010_01223_528_L1_3,DUO_LU_D3_528_L1_4,MV2010_01231_528_L1_4,MV2010_01223_528_L1_4,DUO_LU_D3_528_L1_5,MV2010_01231_528_L1_5,MV2010_01223_528_L1_5,DUO_LU_D3_528_L5_1,MV2010_01231_528_L5_1,MV2010_01223_528_L5_1,DUO_LU_D3_528_L5_2,MV2010_01231_528_L5_2,MV2010_01223_528_L5_2,DUO_LU_D3_528_L5_3,MV2010_01231_528_L5_3,MV2010_01223_528_L5_3
DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0
10249,10007,10046,10248,10168,10142,10255,10165,10153,10251,10151,10169,10255,10151,10108,,,10116,,,10134,,,10134
10249,10012,10046,10246,10167,10146,10249,10167,10154,10257,10150,10162,10254,10153,10112,,,10116,,,10133,,,10136
10246,10010,10047,10247,10170,10148,10247,10166,10154,10262,10151,10162,10257,10151,10113,,,10111,,,10127,,,10141
10245,10012,10044,10247,10163,10147,10250,10166,10153,10251,10153,10160,10259,10152,10117,,,10110,,,10129,,,10140
10248,10011,10047,10249,10169,10153,10249,10167,10155,10253,10154,10160,10256,10151,10106,,,10117,,,10135,,,10137
10249,10013,10042,10244,10170,10146,10248,10165,10155,10252,10157,10170,10255,10151,10115,,,10116,,,10136,,,10136
10250,10010,10045,10244,10169,10152,10260,10171,10156,10253,10154,10169,10253,10150,10111,,,10112,,,10129,,,10138
10250,10006,10042,10242,10167,10148,10257,10168,10153,10255,10154,10165,10258,10150,10115,,,10114,,,10130,,,10137
10250,10005,10042,10244,10168,10150,10251,10169,10157,10252,10157,10164,10256,10151,10115,,,10115,,,10133,,,10135
10247,10004,10041,10250,10167,10152,10252,10171,10158,10254,10157,10169,10254,10148,10116,,,10118,,,10136,,,10136
10245,10007,10044,10252,10167,10153,10254,10175,10159,10252,10160,10166,10251,10149,10112,,,10118,,,10137,,,10139
10253,10007,10036,10249,10170,10150,10253,10174,10158,10251,10157,10167,10255,10148,10114,,,10118,,,10139,,,10132
10244,10006,10042,10251,10169,10157,10249,10173,10160,10252,10154,10170,10254,10152,10119,,,10119,,,10132,,,10139
