DUO_LU_D3_528_L1_1,MV2010_01231_528_L1_1,MV2010_01223_528_L1_1,DUO_LU_D3_528_L1_2,MV2010_01231_528_L1_2,MV2010_01223_528_L1_2,DUO_LU_D3_528_L1_3,MV2010_01231_528_L1_3,MV2010_01223_528_L1_3,DUO_LU_D3_528_L1_4,MV2010_01231_528_L1_4,MV2010_01223_528_L1_4,DUO_LU_D3_528_L1_5,MV2010_01231_528_L1_5,MV2010_01223_528_L1_5,DUO_LU_D3_528_L5_1,MV2010_01231_528_L5_1,MV2010_01223_528_L5_1,DUO_LU_D3_528_L5_2,MV2010_01231_528_L5_2,MV2010_01223_528_L5_2,DUO_LU_D3_528_L5_3,MV2010_01231_528_L5_3,MV2010_01223_528_L5_3
DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0
10246,9971,10029,10251,10349,10295,10242,10261,10219,10251,10053,10054,10258,10107,10068,,,10137,,,10132,,,10135
10248,9967,10026,10254,10350,10298,10244,10261,10222,10252,10052,10055,10253,10107,10073,,,10133,,,10131,,,10128
10245,9973,10027,10252,10346,10297,10249,10259,10222,10253,10053,10054,10252,10107,10067,,,10133,,,10128,,,10130
10243,9970,10027,10251,10351,10297,10245,10259,10219,10255,10050,10059,10256,10104,10065,,,10131,,,10131,,,10132
10247,9973,10031,10251,10346,10294,10241,10259,10218,10251,10049,10053,10255,10107,10070,,,10134,,,10128,,,10131
10247,9971,10027,10249,10346,10289,10246,10256,10221,10249,10051,10056,10253,10105,10067,,,10127,,,10129,,,10128
10246,9973,10027,10248,10351,10294,10246,10259,10219,10254,10053,10062,10251,10103,10069,,,10135,,,10129,,,10129
10245,9971,10031,10248,10351,10296,10256,10257,10218,10256,10052,10053,10254,10105,10066,,,10130,,,10131,,,10133
10243,9973,10032,10246,10347,10299,10247,10257,10222,10250,10053,10055,10257,10107,10067,,,10133,,,10130,,,10131
10241,9967,10034,10246,10349,10297,10246,10255,10218,10251,10055,10053,10253,10109,10065,,,10136,,,10130,,,10131
10243,9970,10027,10253,10350,10294,10244,10259,10217,10251,10047,10053,10249,10106,10065,,,10131,,,10136,,,10130
10244,9971,10037,10250,10351,10293,10246,10255,10217,10250,10047,10056,10252,10105,10067,,,10131,,,10124,,,10130
10240,9974,10033,10248,10348,10300,10247,10256,10215,10248,10054,10058,10253,10105,10066,,,10138,,,10126,,,10134
10246,9971,10031,10250,10350,10290,10249,10257,10216,10251,10046,10056,10260,10105,10069,,,10133,,,10129,,,10127
10246,9977,10029,10248,10350,10291,10247,10258,10222,10247,10045,10055,10258,10107,10069,,,10136,,,10130,,,10128
10241,9973,10036,10246,10348,10293,10244,10255,10219,10249,10050,10055,10253,10107,10066,,,10131,,,10129,,,10133
10248,9974,10025,10249,10347,10295,10247,10258,10220,10250,10047,10057,10255,10103,10066,,,10134,,,10127,,,10130
10243,9977,10032,10249,10349,10289,10244,10255,10220,10257,10051,10058,10249,10108,10064,,,10135,,,10128,,,10134
10242,9973,10026,10250,10349,10293,10243,10253,10211,10250,10046,10058,10258,10109,10065,,,10137,,,10129,,,10129
10243,9976,10037,10248,10349,10292,10243,10255,10215,10251,10049,10052,10255,10103,10067,,,10137,,,10124,,,10133
10242,9977,10034,10248,10348,10293,10249,10255,10211,10256,10045,10054,10256,10100,10065,,,10134,,,10125,,,10137
10247,9975,10029,10250,10345,10293,10245,10257,10213,10254,10049,10056,10256,10102,10069,,,10136,,,10128,,,10132
10246,9972,10036,10248,10347,10289,10246,10256,10216,10253,10046,10053,10258,10103,10067,,,10136,,,10127,,,10132
10245,9975,10032,10247,10352,10289,10245,10252,10209,10252,10047,10053,10255,10104,10070,,,10132,,,10129,,,10127
10249,9972,10033,10254,10353,10290,10248,10255,10215,10259,10045,10053,10258,10103,10065,,,10136,,,10130,,,10136
10250,9978,10027,10250,10348,10291,10239,10253,10213,10253,10045,10055,10255,10102,10060,,,10134,,,10125,,,10134
10251,9977,10032,10253,10347,10297,10239,10253,10213,10253,10045,10053,10251,10105,10067,,,10132,,,10126,,,10133
10250,9979,10033,10252,10347,10291,10239,10251,10218,10253,10045,10054,10251,10103,10067,,,10136,,,10130,,,10135
10247,9976,10031,10253,10342,10287,10239,10246,10210,10258,10040,10054,10254,10102,10068,,,10137,,,10124,,,10139
10247,9978,10033,10250,10345,10291,10243,10254,10219,10256,10043,10053,10253,10101,10061,,,10136,,,10129,,,10138
10246,9978,10033,10248,10344,10294,10247,10250,10215,10251,10039,10055,10254,10103,10064,,,10139,,,10130,,,10139
10247,9981,10034,10257,10343,10291,10244,10253,10215,10251,10043,10051,10256,10104,10063,,,10138,,,10128,,,10134
10240,9984,10032,10249,10344,10284,10244,10253,10213,10251,10044,10056,10254,10102,10066,,,10136,,,10131,,,10137
10242,9983,10029,10246,10340,10290,10246,10249,10210,10253,10045,10049,10254,10104,10065,,,10140,,,10128,,,10137
10249,9984,10032,10252,10344,10289,10248,10249,10214,10251,10041,10051,10254,10103,10069,,,10143,,,10130,,,10141
10241,9980,10033,10249,10343,10290,10247,10251,10215,10253,10040,10054,10259,10105,10060,,,10137,,,10123,,,10135
10248,9982,10038,10248,10343,10292,10239,10247,10218,10251,10039,10053,10258,10103,10067,,,10136,,,10133,,,10140
10238,9985,10034,10248,10342,10292,10242,10249,10209,10251,10039,10054,10255,10101,10066,,,10137,,,10132,,,10142
10245,9984,10036,10246,10340,10288,10242,10252,10214,10253,10039,10056,10254,10101,10062,,,10132,,,10131,,,10137
10243,9985,10038,10251,10343,10292,10244,10248,10211,10252,10041,10054,10252,10101,10062,,,10137,,,10132,,,10131
10245,9981,10039,10247,10340,10283,10243,10253,10214,10252,10038,10055,10255,10101,10064,,,10135,,,10127,,,10137
10245,9980,10034,10246,10342,10288,10246,10252,10217,10255,10039,10057,10248,10102,10069,,,10136,,,10133,,,10132
10251,9981,10037,10251,10344,10287,10246,10249,10210,10254,10038,10051,10247,10097,10061,,,10131,,,10135,,,10139
10251,9981,10038,10251,10349,10289,10249,10246,10213,10249,10043,10054,10255,10099,10061,,,10138,,,10131,,,10131
10256,9979,10043,10247,10345,10282,10246,10251,10205,10253,10039,10049,10256,10101,10062,,,10136,,,10126,,,10137
10256,9977,10039,10251,10342,10285,10241,10253,10210,10250,10041,10051,10251,10098,10065,,,10139,,,10134,,,10133
10252,9982,10035,10245,10341,10287,10242,10250,10207,10250,10041,10053,10252,10101,10070,,,10136,,,10128,,,10132
10258,9985,10036,10251,10345,10282,10241,10250,10205,10256,10041,10051,10254,10100,10061,,,10135,,,10135,,,10136
10249,9983,10039,10244,10343,10287,10243,10246,10202,10248,10039,10047,10253,10099,10060,,,10135,,,10134,,,10134
10251,9986,10035,10248,10343,10280,10246,10246,10203,10256,10041,10051,10255,10101,10062,,,10134,,,10127,,,10141
10247,9987,10038,10243,10341,10281,10243,10247,10204,10253,10038,10048,10256,10097,10064,,,10142,,,10126,,,10132
10248,9987,10034,10238,10341,10285,10248,10245,10200,10254,10041,10052,10255,10102,10065,,,10137,,,10133,,,10136
10253,9986,10038,10240,10339,10279,10243,10247,10201,10257,10043,10049,10250,10099,10059,,,10135,,,10130,,,10138
10248,9990,10038,10252,10336,10284,10248,10244,10201,10253,10038,10050,10251,10099,10066,,,10136,,,10126,,,10136
10246,9989,10034,10247,10341,10280,10245,10246,10203,10249,10039,10045,10252,10095,10061,,,10136,,,10131,,,10132
10251,9986,10038,10247,10335,10280,10243,10247,10201,10245,10037,10046,10252,10099,10068,,,10138,,,10126,,,10134
10252,9986,10041,10248,10339,10275,10245,10246,10200,10251,10041,10053,10255,10099,10067,,,10141,,,10128,,,10129
10249,9991,10031,10249,10336,10278,10247,10241,10198,10247,10039,10050,10253,10099,10066,,,10138,,,10133,,,10135
10247,9988,10040,10246,10339,10277,10244,10241,10194,10250,10035,10049,10253,10100,10061,,,10140,,,10129,,,10136
10248,9983,10038,10247,10338,10277,10241,10237,10201,10251,10035,10049,10251,10098,10058,,,10135,,,10131,,,10138
10249,9989,10033,10244,10339,10278,10238,10237,10201,10253,10035,10049,10250,10099,10065,,,10137,,,10132,,,10139
10247,9986,10035,10255,10335,10276,10245,10241,10197,10253,10036,10048,10255,10099,10060,,,10132,,,10130,,,10135
10250,9987,10038,10249,10337,10282,10243,10240,10200,10253,10034,10053,10253,10101,10061,,,10135,,,10135,,,10135
10247,9992,10039,10250,10336,10276,10244,10238,10197,10251,10035,10049,10251,10096,10061,,,10139,,,10129,,,10125
10245,9991,10035,10244,10336,10279,10245,10237,10196,10253,10037,10049,10251,10097,10067,,,10138,,,10133,,,10139
10249,9990,10039,10245,10332,10274,10244,10235,10199,10255,10039,10051,10249,10095,10066,,,10139,,,10127,,,10132
10245,9987,10043,10242,10328,10276,10249,10241,10194,10248,10041,10047,10250,10092,10062,,,10137,,,10127,,,10136
10245,9990,10037,10244,10336,10275,10246,10239,10193,10250,10038,10048,10258,10093,10062,,,10139,,,10134,,,10136
10245,9990,10043,10245,10338,10280,10245,10236,10196,10248,10039,10045,10247,10097,10069,,,10139,,,10137,,,10142
10245,9992,10043,10248,10335,10277,10252,10239,10194,10254,10037,10048,10251,10093,10061,,,10138,,,10131,,,10135
10245,9986,10043,10252,10337,10280,10242,10242,10195,10253,10035,10047,10250,10095,10064,,,10138,,,10126,,,10137
10240,9986,10038,10252,10331,10277,10245,10245,10197,10256,10038,10049,10248,10093,10062,,,10134,,,10129,,,10138
10245,9985,10041,10249,10333,10273,10243,10239,10198,10259,10035,10051,10250,10095,10061,,,10138,,,10137,,,10137
10247,9990,10045,10249,10330,10271,10242,10238,10194,10256,10033,10048,10249,10094,10060,,,10142,,,10134,,,10135
10243,9988,10038,10247,10332,10272,10245,10238,10192,10252,10036,10050,10247,10094,10061,,,10139,,,10126,,,10139
10242,9985,10040,10248,10330,10272,10244,10238,10193,10251,10032,10048,10255,10094,10063,,,10137,,,10131,,,10135
10243,9990,10040,10246,10336,10269,10244,10235,10188,10249,10035,10050,10251,10093,10059,,,10140,,,10127,,,10135
10253,9990,10039,10249,10330,10272,10247,10238,10191,10251,10035,10045,10250,10096,10061,,,10138,,,10131,,,10137
10247,9991,10043,10250,10331,10274,10246,10236,10191,10248,10035,10049,10250,10093,10061,,,10139,,,10131,,,10132
10241,9989,10044,10246,10331,10264,10245,10236,10186,10253,10033,10049,10255,10094,10057,,,10140,,,10131,,,10133
10243,9987,10039,10245,10332,10271,10241,10231,10185,10253,10034,10048,10258,10093,10062,,,10139,,,10132,,,10133
10248,9991,10047,10250,10331,10271,10246,10236,10189,10255,10037,10048,10254,10092,10060,,,10141,,,10132,,,10139
10246,9992,10041,10248,10329,10270,10246,10233,10187,10259,10034,10051,10252,10094,10060,,,10146,,,10133,,,10139
10240,9994,10039,10253,10327,10268,10250,10234,10181,10248,10036,10055,10255,10093,10063,,,10140,,,10131,,,10141
10241,9995,10043,10250,10326,10271,10246,10233,10188,10250,10034,10049,10249,10093,10055,,,10140,,,10138,,,10135
10247,9992,10044,10248,10327,10266,10244,10229,10185,10252,10037,10050,10249,10094,10057,,,10138,,,10135,,,10135
10244,9992,10042,10250,10329,10269,10244,10230,10179,10249,10035,10049,10252,10091,10061,,,10138,,,10125,,,10140
10247,9991,10045,10247,10330,10262,10245,10229,10184,10247,10039,10051,10256,10092,10056,,,10137,,,10127,,,10137
10248,9993,10044,10249,10329,10263,10246,10231,10185,10249,10035,10049,10249,10093,10060,,,10139,,,10132,,,10138
10247,9993,10048,10244,10325,10262,10244,10230,10183,10250,10035,10043,10253,10093,10062,,,10137,,,10132,,,10132
10248,9993,10044,10251,10330,10261,10245,10227,10183,10252,10032,10045,10252,10091,10060,,,10137,,,10131,,,10137
10246,9994,10046,10247,10326,10261,10246,10229,10178,10254,10031,10047,10255,10093,10059,,,10135,,,10135,,,10132
10249,9994,10049,10245,10330,10258,10246,10229,10181,10252,10036,10046,10255,10089,10055,,,10136,,,10128,,,10134
10251,9992,10038,10242,10328,10262,10244,10230,10182,10251,10035,10047,10255,10089,10059,,,10137,,,10130,,,10135
10245,9995,10050,10245,10326,10262,10248,10231,10188,10250,10041,10046,10251,10090,10057,,,10138,,,10130,,,10133
10249,9996,10045,10248,10327,10260,10246,10230,10179,10253,10036,10048,10254,10087,10055,,,10141,,,10130,,,10136
10248,9992,10039,10253,10326,10254,10242,10226,10180,10255,10034,10047,10255,10092,10057,,,10140,,,10132,,,10137
10246,9998,10044,10245,10328,10258,10247,10227,10182,10250,10030,10048,10251,10091,10053,,,10141,,,10135,,,10140
10245,9994,10050,10251,10329,10255,10239,10228,10182,10248,10033,10048,10251,10090,10053,,,10139,,,10135,,,10138
10245,9995,10045,10248,10322,10253,10246,10225,10181,10253,10035,10040,10254,10087,10061,,,10135,,,10132,,,10140
10243,9997,10043,10251,10327,10257,10240,10231,10184,10252,10028,10045,10248,10089,10056,,,10139,,,10131,,,10134
10240,9991,10048,10248,10327,10254,10245,10226,10181,10249,10032,10040,10250,10089,10063,,,10140,,,10128,,,10138
10240,9996,10040,10252,10320,10250,10244,10227,10180,10254,10037,10042,10251,10089,10053,,,10133,,,10132,,,10140
10243,9993,10045,10246,10322,10252,10245,10223,10179,10251,10036,10045,10250,10093,10061,,,10138,,,10128,,,10139
10244,9999,10047,10244,10323,10251,10243,10225,10180,10250,10029,10050,10251,10086,10058,,,10142,,,10129,,,10136
10247,9995,10046,10250,10320,10249,10244,10225,10181,10249,10029,10046,10251,10089,10055,,,10136,,,10126,,,10131
10246,9998,10048,10249,10324,10253,10245,10226,10182,10254,10031,10047,10256,10091,10056,,,10135,,,10131,,,10136
10247,9997,10050,10248,10318,10247,10243,10225,10176,10254,10033,10048,10254,10090,10054,,,10141,,,10132,,,10136
10246,9997,10046,10244,10320,10248,10244,10225,10177,10255,10032,10044,10251,10089,10057,,,10141,,,10135,,,10135
10248,10001,10048,10248,10319,10246,10241,10223,10179,10259,10031,10043,10251,10091,10059,,,10143,,,10135,,,10142
10244,9997,10045,10252,10318,10246,10240,10223,10177,10253,10033,10045,10254,10087,10055,,,10145,,,10132,,,10134
10246,9995,10048,10254,10317,10252,10246,10219,10176,10253,10029,10045,10253,10088,10059,,,10135,,,10133,,,10134
10245,10001,10047,10252,10318,10244,10244,10220,10176,10252,10030,10045,10256,10090,10055,,,10140,,,10129,,,10135
10242,9997,10045,10251,10317,10241,10250,10219,10177,10255,10030,10048,10260,10085,10058,,,10143,,,10138,,,10138
10247,9995,10044,10250,10323,10238,10248,10220,10171,10246,10033,10048,10262,10089,10062,,,10136,,,10130,,,10141
10247,9998,10045,10251,10319,10239,10247,10222,10174,10250,10033,10044,10255,10089,10057,,,10137,,,10131,,,10138
10242,9999,10045,10251,10314,10240,10250,10217,10174,10252,10031,10047,10252,10090,10055,,,10137,,,10136,,,10145
10245,10002,10050,10247,10314,10238,10248,10217,10179,10253,10035,10046,10255,10087,10055,,,10138,,,10130,,,10140
10243,9998,10046,10245,10317,10235,10246,10219,10175,10253,10037,10041,10256,10088,10051,,,10137,,,10134,,,10138
10245,10002,10045,10252,10314,10234,10248,10217,10176,10253,10030,10044,10255,10089,10059,,,10134,,,10134,,,10135
10244,9997,10041,10244,10313,10234,10248,10214,10177,10249,10033,10042,10257,10094,10058,,,10138,,,10132,,,10142
10242,9999,10049,10250,10313,10234,10245,10218,10175,10251,10033,10042,10256,10088,10054,,,10132,,,10130,,,10141
10240,10002,10047,10252,10313,10233,10250,10219,10175,10254,10035,10039,10253,10091,10058,,,10141,,,10138,,,10141
10242,10005,10045,10248,10312,10231,10245,10218,10176,10251,10030,10044,10255,10090,10052,,,10144,,,10133,,,10133
10247,10002,10046,10253,10310,10233,10247,10216,10174,10250,10031,10044,10258,10086,10048,,,10141,,,10132,,,10139
10243,10000,10048,10254,10310,10232,10250,10214,10174,10255,10031,10043,10256,10091,10052,,,10138,,,10132,,,10136
10245,9998,10053,10252,10308,10225,10248,10212,10175,10263,10033,10042,10256,10090,10055,,,10136,,,10131,,,10139
10245,10002,10051,10252,10307,10224,10250,10211,10172,10256,10030,10043,10255,10088,10055,,,10138,,,10132,,,10139
10242,10004,10050,10254,10305,10226,10249,10211,10172,10255,10031,10042,10248,10093,10055,,,10139,,,10131,,,10133
10246,10001,10052,10243,10312,10225,10249,10215,10171,10251,10025,10042,10254,10089,10064,,,10139,,,10135,,,10131
10240,9999,10046,10241,10308,10226,10247,10206,10172,10245,10029,10039,10259,10092,10054,,,10143,,,10136,,,10139
10243,9996,10045,10246,10308,10227,10248,10214,10172,10253,10030,10037,10252,10088,10058,,,10140,,,10131,,,10138
10245,10000,10047,10249,10301,10225,10243,10211,10171,10251,10031,10039,10255,10087,10049,,,10140,,,10127,,,10136
10248,10000,10054,10249,10301,10223,10246,10213,10168,10251,10032,10040,10257,10086,10051,,,10138,,,10130,,,10141
10244,10000,10050,10249,10303,10222,10247,10212,10165,10250,10031,10040,10260,10087,10058,,,10141,,,10135,,,10138
10241,9996,10051,10247,10299,10224,10245,10212,10174,10251,10029,10040,10260,10087,10054,,,10137,,,10138,,,10139
10247,9999,10046,10247,10299,10223,10245,10205,10175,10249,10026,10045,10261,10088,10058,,,10138,,,10138,,,10137
10248,10002,10046,10247,10298,10226,10244,10208,10171,10254,10031,10041,10260,10089,10052,,,10139,,,10138,,,10139
10245,10003,10052,10247,10298,10222,10247,10207,10173,10251,10032,10039,10257,10087,10051,,,10140,,,10131,,,10136
10244,10005,10051,10249,10293,10219,10246,10207,10170,10250,10028,10039,10262,10089,10051,,,10141,,,10132,,,10137
10250,10001,10051,10253,10297,10216,10250,10208,10164,10250,10030,10041,10257,10087,10050,,,10139,,,10130,,,10136
10250,9999,10052,10247,10293,10214,10250,10205,10166,10253,10029,10037,10257,10089,10050,,,10141,,,10139,,,10137
10248,10003,10054,10249,10295,10212,10248,10208,10166,10254,10029,10036,10260,10089,10053,,,10139,,,10130,,,10132
10248,10004,10050,10251,10292,10217,10246,10207,10168,10251,10025,10031,10256,10088,10044,,,10141,,,10131,,,10136
10244,10004,10053,10250,10290,10214,10245,10206,10167,10256,10028,10039,10258,10083,10054,,,10137,,,10137,,,10137
10250,10006,10057,10252,10296,10216,10249,10207,10168,10250,10027,10038,10256,10088,10055,,,10135,,,10128,,,10140
10248,10005,10054,10248,10289,10212,10249,10205,10168,10256,10029,10037,10253,10088,10051,,,10136,,,10133,,,10140
10251,10005,10059,10248,10288,10212,10248,10204,10166,10255,10025,10039,10256,10088,10051,,,10134,,,10134,,,10139
10246,10003,10049,10249,10287,10210,10249,10203,10164,10253,10026,10037,10254,10088,10052,,,10137,,,10133,,,10138
10250,10007,10055,10251,10282,10210,10248,10205,10166,10256,10023,10035,10254,10084,10053,,,10140,,,10130,,,10141
10245,10003,10057,10254,10285,10208,10243,10207,10165,10257,10030,10034,10255,10085,10050,,,10138,,,10124,,,10138
10244,10000,10055,10256,10288,10209,10249,10206,10165,10257,10030,10036,10256,10086,10052,,,10138,,,10133,,,10134
10251,10004,10058,10253,10283,10205,10246,10202,10165,10256,10029,10037,10251,10087,10052,,,10135,,,10131,,,10139
10243,10008,10055,10249,10285,10203,10246,10198,10163,10255,10027,10039,10252,10086,10045,,,10138,,,10129,,,10140
10248,10007,10054,10250,10281,10202,10250,10199,10162,10257,10030,10035,10251,10086,10049,,,10138,,,10131,,,10133
10247,10007,10059,10253,10278,10202,10247,10197,10163,10256,10021,10037,10250,10083,10048,,,10141,,,10133,,,10131
10245,10005,10052,10245,10282,10206,10242,10198,10159,10258,10026,10033,10250,10084,10052,,,10144,,,10131,,,10133
10244,10005,10055,10246,10278,10206,10248,10200,10166,10258,10027,10040,10247,10086,10047,,,10138,,,10131,,,10142
10248,10004,10055,10251,10280,10201,10246,10199,10167,10252,10030,10036,10252,10087,10052,,,10134,,,10132,,,10140
10246,10008,10056,10248,10276,10207,10246,10199,10165,10251,10025,10037,10249,10085,10048,,,10137,,,10134,,,10137
10247,10008,10054,10248,10275,10204,10249,10201,10159,10249,10029,10037,10252,10087,10049,,,10136,,,10131,,,10143
10247,10008,10050,10250,10270,10205,10251,10199,10160,10261,10027,10035,10254,10086,10058,,,10137,,,10131,,,10138
10247,10002,10053,10249,10273,10202,10244,10197,10161,10254,10028,10036,10259,10086,10052,,,10136,,,10130,,,10143
10247,10007,10056,10249,10273,10204,10247,10198,10160,10252,10027,10035,10255,10086,10051,,,10141,,,10132,,,10143
10247,10006,10059,10245,10271,10206,10243,10199,10163,10249,10028,10037,10253,10089,10051,,,10136,,,10135,,,10142
10247,10005,10053,10251,10270,10198,10243,10195,10163,10250,10023,10035,10252,10085,10056,,,10136,,,10134,,,10139
10245,10009,10050,10246,10269,10197,10238,10198,10157,10255,10026,10036,10252,10088,10051,,,10137,,,10135,,,10140
10244,10008,10056,10250,10265,10201,10243,10198,10156,10255,10025,10035,10256,10086,10047,,,10133,,,10134,,,10140
10248,10006,10053,10248,10264,10199,10241,10196,10163,10258,10028,10036,10254,10083,10048,,,10141,,,10139,,,10140
10248,10004,10052,10250,10267,10196,10241,10194,10159,10250,10025,10034,10254,10083,10052,,,10137,,,10133,,,10137
10245,10011,10058,10249,10261,10201,10242,10196,10156,10257,10028,10033,10252,10081,10047,,,10132,,,10135,,,10138
10251,10006,10054,10250,10265,10194,10241,10197,10162,10252,10024,10034,10252,10085,10050,,,10137,,,10138,,,10141
10252,10007,10054,10250,10259,10199,10242,10196,10157,10251,10021,10037,10253,10085,10053,,,10134,,,10131,,,10137
10241,10007,10060,10246,10262,10198,10248,10193,10156,10252,10019,10036,10251,10084,10050,,,10144,,,10131,,,10140
10244,10011,10054,10249,10261,10200,10246,10193,10157,10254,10025,10033,10255,10083,10050,,,10134,,,10130,,,10132
10245,10008,10058,10246,10257,10196,10249,10193,10155,10257,10019,10033,10256,10087,10049,,,10132,,,10136,,,10130
10245,10011,10056,10247,10257,10196,10244,10197,10154,10255,10023,10030,10252,10083,10049,,,10138,,,10132,,,10139
10249,10014,10059,10251,10258,10196,10245,10190,10156,10256,10022,10031,10250,10084,10048,,,10132,,,10124,,,10138
10247,10013,10058,10249,10256,10194,10248,10189,10155,10253,10020,10034,10256,10085,10050,,,10135,,,10129,,,10135
10250,10009,10054,10249,10256,10198,10242,10199,10160,10256,10019,10034,10250,10086,10054,,,10137,,,10131,,,10136
10247,10011,10050,10246,10254,10199,10246,10194,10157,10256,10023,10028,10256,10083,10050,,,10134,,,10140,,,10136
10248,10011,10054,10247,10255,10196,10249,10195,10153,10252,10019,10028,10253,10083,10049,,,10137,,,10137,,,10138
10249,10014,10057,10250,10253,10195,10243,10191,10156,10254,10023,10019,10247,10083,10046,,,10141,,,10133,,,10137
10248,10010,10061,10247,10255,10194,10245,10194,10154,10254,10021,9978,10249,10084,10049,,,10134,,,10135,,,10135
10246,10010,10059,10247,10247,10197,10243,10191,10153,10256,10021,10035,10254,10083,10051,,,10133,,,10133,,,10135
10245,10011,10056,10248,10252,10194,10243,10194,10158,10251,10023,10037,10252,10084,10048,,,10136,,,10129,,,10141
10245,10012,10062,10249,10249,10197,10242,10190,10160,10252,10020,10036,10247,10084,10046,,,10137,,,10136,,,10136
10245,10009,10067,10248,10252,10192,10250,10193,10155,10251,10020,10040,10254,10083,10048,,,10142,,,10132,,,10129
10246,10014,10066,10246,10248,10192,10241,10189,10157,10250,10022,10034,10255,10087,10051,,,10131,,,10134,,,10134
10241,10011,10068,10255,10252,10198,10242,10193,10159,10246,10020,10034,10254,10084,10050,,,10140,,,10131,,,10133
10247,10010,10063,10248,10246,10196,10243,10190,10155,10246,10019,10032,10247,10082,10049,,,10139,,,10136,,,10131
10250,10013,10064,10250,10247,10192,10249,10192,10157,10250,10018,10031,10250,10086,10054,,,10139,,,10135,,,10131
10253,10014,10066,10252,10243,10193,10253,10193,10156,10250,10017,10030,10253,10085,10048,,,10136,,,10134,,,10137
10246,10013,10065,10247,10245,10197,10244,10192,10154,10249,10020,10030,10251,10084,10048,,,10138,,,10133,,,10135
10250,10015,10062,10247,10247,10194,10243,10192,10161,10251,10017,10033,10249,10085,10048,,,10140,,,10130,,,10132
10251,10011,10067,10247,10244,10190,10242,10193,10153,10253,10019,10032,10253,10083,10050,,,10140,,,10133,,,10136
10244,10012,10061,10248,10243,10188,10245,10187,10153,10253,10020,10033,10251,10086,10043,,,10147,,,10133,,,10137
10248,10013,10066,10246,10241,10191,10250,10189,10157,10252,10022,10030,10252,10085,10050,,,10139,,,10133,,,10140
10249,10014,10065,10248,10244,10195,10254,10189,10160,10248,10020,10033,10249,10085,10049,,,10140,,,10129,,,10139
10247,10014,10066,10248,10243,10187,10246,10190,10160,10253,10018,10038,10253,10086,10046,,,10140,,,10134,,,10137
10246,10015,10068,10251,10242,10200,10238,10190,10157,10252,10013,10034,10252,10087,10045,,,10136,,,10130,,,10134
10242,10016,10071,10253,10244,10196,10244,10190,10157,10250,10017,10032,10250,10088,10045,,,10141,,,10132,,,10132
10247,10017,10068,10252,10239,10193,10243,10189,10154,10250,10015,10036,10255,10085,10048,,,10138,,,10130,,,10142
10246,10019,10065,10253,10237,10195,10243,10191,10153,10249,10009,10033,10248,10086,10043,,,10136,,,10130,,,10135
10247,10019,10061,10254,10240,10194,10242,10186,10155,10247,10013,10032,10252,10083,10043,,,10139,,,10132,,,10138
10249,10017,10067,10254,10233,10197,10245,10191,10154,10249,10014,10031,10251,10079,10042,,,10142,,,10138,,,10134
10245,10016,10068,10246,10235,10199,10243,10189,10150,10252,10013,10028,10249,10086,10043,,,10141,,,10133,,,10132
10248,10018,10066,10247,10235,10197,10242,10187,10155,10251,10017,10031,10245,10082,10047,,,10142,,,10128,,,10133
10247,10017,10066,10246,10235,10196,10246,10188,10156,10250,10016,10033,10248,10081,10047,,,10141,,,10128,,,10134
10247,10018,10068,10251,10235,10198,10237,10189,10149,10255,10019,10037,10252,10081,10040,,,10142,,,10129,,,10140
10253,10015,10072,10251,10237,10201,10241,10187,10154,10249,10015,10031,10250,10080,10040,,,10145,,,10133,,,10138
10250,10020,10069,10248,10237,10195,10239,10191,10153,10252,10015,10031,10250,10079,10040,,,10140,,,10135,,,10139
10245,10019,10065,10247,10233,10197,10242,10193,10154,10257,10013,10032,10253,10082,10044,,,10137,,,10134,,,10131
10250,10016,10065,10243,10235,10194,10238,10189,10159,10254,10015,10028,10252,10085,10035,,,10139,,,10134,,,10137
10251,10018,10070,10247,10239,10194,10238,10190,10156,10250,10014,10028,10251,10082,10043,,,10135,,,10134,,,10137
10248,10021,10070,10251,10229,10200,10239,10187,10157,10252,10012,10033,10247,10083,10044,,,10140,,,10136,,,10138
10249,10018,10075,10247,10233,10202,10239,10189,10152,10249,10015,10030,10251,10085,10043,,,10134,,,10136,,,10137
10245,10019,10075,10243,10233,10198,10238,10188,10150,10249,10014,10030,10247,10081,10040,,,10135,,,10135,,,10135
10247,10023,10077,10255,10232,10198,10244,10185,10158,10250,10013,10033,10252,10081,10047,,,10143,,,10128,,,10140
10248,10018,10076,10250,10231,10201,10242,10186,10152,10249,10013,10031,10245,10080,10043,,,10142,,,10133,,,10137
10251,10021,10074,10254,10232,10201,10242,10187,10152,10253,10012,10027,10253,10083,10043,,,10143,,,10135,,,10141
10249,10022,10071,10250,10236,10201,10245,10183,10154,10256,10015,10029,10255,10082,10050,,,10138,,,10134,,,10140
10246,10022,10073,10247,10231,10201,10246,10187,10153,10252,10011,10030,10253,10081,10050,,,10146,,,10134,,,10134
